idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
1755	M1106	0.03	0.109	0.038	0.082	0.066	0.062	0.046	0.033	0.03	0.044	0.066	0.033	0.06	0.034	0.066	0.129	0.071	2	PP1	0.129	PP1	TRUE	0.1 < p < 0.25	1
3205	M1079	0.073	0.065	0.148	0.038	0.047	0.056	0.046	0.053	0.051	0.044	0.043	0.043	0.047	0.055	0.046	0.062	0.083	2	M1102	0.148	M1102	TRUE	0.1 < p < 0.25	1
866	M813	0.047	0.029	0.059	0.05	0.067	0.09	0.053	0.057	0.035	0.041	0.083	0.077	0.076	0.094	0.044	0.054	0.045	2	M815	0.094	M815	TRUE	p < 0.1	1
503	M244	0.033	0.038	0.053	0.066	0.058	0.06	0.076	0.048	0.048	0.108	0.065	0.055	0.063	0.051	0.062	0.051	0.064	2	M244	0.108	M244	FALSE	0.1 < p < 0.25	1
865	M813	0.049	0.063	0.059	0.086	0.053	0.055	0.06	0.04	0.033	0.064	0.058	0.045	0.062	0.068	0.068	0.065	0.074	2	M1106	0.086	M1106	TRUE	p < 0.1	1
559	M244	0.032	0.074	0.049	0.05	0.07	0.074	0.061	0.026	0.036	0.056	0.107	0.076	0.068	0.054	0.064	0.056	0.045	2	M809	0.107	M809	TRUE	0.1 < p < 0.25	1
3253	M831	0.048	0.044	0.062	0.04	0.048	0.052	0.065	0.095	0.045	0.074	0.063	0.048	0.056	0.046	0.134	0.04	0.041	2	M831	0.134	M831	FALSE	0.1 < p < 0.25	1
2488	M1113	0.04	0.083	0.134	0.041	0.042	0.052	0.052	0.053	0.057	0.056	0.044	0.046	0.049	0.043	0.055	0.046	0.107	2	M1102	0.134	M1102	TRUE	0.1 < p < 0.25	1
3305	PP3	0.032	0.049	0.05	0.115	0.055	0.051	0.055	0.081	0.049	0.041	0.055	0.048	0.072	0.044	0.062	0.064	0.077	2	M1106	0.115	M1106	TRUE	0.1 < p < 0.25	1
1038	M809	0.032	0.038	0.062	0.075	0.07	0.07	0.065	0.03	0.032	0.056	0.08	0.057	0.08	0.073	0.05	0.058	0.072	2	M809	0.08	M809	FALSE	p < 0.1	1
743	M1106	0.053	0.053	0.085	0.083	0.056	0.07	0.067	0.037	0.028	0.051	0.056	0.045	0.071	0.053	0.076	0.059	0.056	2	M1102	0.085	M1102	TRUE	p < 0.1	1
1608	M831	0.038	0.025	0.057	0.053	0.099	0.047	0.055	0.031	0.06	0.055	0.058	0.07	0.073	0.038	0.096	0.098	0.048	2	M1112	0.099	M1112	TRUE	p < 0.1	1
1134	CXSGT	0.124	0.061	0.082	0.052	0.047	0.043	0.051	0.093	0.046	0.049	0.047	0.039	0.05	0.043	0.04	0.071	0.062	2	CXSGT	0.124	CXSGT	FALSE	0.1 < p < 0.25	1
656	M1551	0.031	0.032	0.066	0.044	0.057	0.06	0.072	0.032	0.044	0.116	0.124	0.051	0.054	0.041	0.073	0.052	0.05	2	M809	0.124	M809	TRUE	0.1 < p < 0.25	1
2516	PP1	0.041	0.033	0.067	0.06	0.054	0.057	0.072	0.038	0.046	0.05	0.067	0.059	0.07	0.072	0.083	0.079	0.051	2	M831	0.083	M831	TRUE	p < 0.1	1
3816	M1113	0.046	0.05	0.076	0.068	0.048	0.076	0.055	0.055	0.062	0.053	0.056	0.049	0.057	0.061	0.07	0.06	0.058	2	M1102	0.076	M1102	TRUE	p < 0.1	1
3000	M813	0.072	0.043	0.056	0.07	0.047	0.06	0.051	0.066	0.041	0.049	0.066	0.049	0.06	0.103	0.055	0.059	0.052	2	M815	0.103	M815	TRUE	0.1 < p < 0.25	1
238	M831	0.033	0.033	0.075	0.04	0.061	0.055	0.053	0.111	0.117	0.048	0.052	0.054	0.057	0.069	0.059	0.041	0.042	2	M1979	0.117	M1979	TRUE	0.1 < p < 0.25	1
3258	M831	0.028	0.039	0.063	0.038	0.047	0.063	0.042	0.191	0.114	0.038	0.048	0.046	0.05	0.056	0.036	0.051	0.05	2	M1975	0.191	M1975	TRUE	0.1 < p < 0.25	1
298	PP1	0.054	0.039	0.037	0.059	0.074	0.054	0.058	0.044	0.038	0.044	0.106	0.058	0.059	0.076	0.068	0.08	0.05	2	M809	0.106	M809	TRUE	0.1 < p < 0.25	1
200	M831	0.059	0.052	0.058	0.048	0.071	0.054	0.061	0.031	0.038	0.045	0.059	0.061	0.058	0.105	0.062	0.078	0.061	2	M815	0.105	M815	TRUE	0.1 < p < 0.25	1
1731	M1106	0.054	0.03	0.036	0.036	0.102	0.042	0.048	0.144	0.079	0.046	0.061	0.064	0.068	0.079	0.04	0.039	0.034	2	M1975	0.144	M1975	TRUE	0.1 < p < 0.25	1
2086	CXSGT	0.1	0.178	0.057	0.042	0.034	0.033	0.044	0.084	0.091	0.052	0.036	0.045	0.036	0.034	0.056	0.043	0.036	2	M1079	0.178	M1079	TRUE	0.1 < p < 0.25	1
3876	M1102	0.036	0.043	0.05	0.064	0.049	0.053	0.059	0.055	0.044	0.078	0.053	0.05	0.06	0.038	0.054	0.05	0.163	2	PP3	0.163	PP3	TRUE	0.1 < p < 0.25	1
